"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-144.448376040731,12.4685766168095,-11.5849932578506,5.52785961830236e-30
"CountryAlbania",4.48298926327049,0.411947015257346,10.8824414238563,9.33761990398224e-27
"CountryAlgeria",4.32455901584322,0.338681387466504,12.7688121517186,8.34161564362087e-36
"CountryAngola",-3.68629296409463,0.287523716222955,-12.8208309649008,4.51552733003472e-36
"CountryAntigua and Barbuda",5.78896747666292,0.415256428907377,13.9407052454188,5.05947318382964e-42
"CountryArgentina",5.1713064218441,0.419645578393509,12.3230332645013,1.47458453563238e-33
"CountryArmenia",4.18439505312139,0.449319485235916,9.3127389098747,3.5113313479267e-20
"CountryAustralia",8.4102396428131,0.516584426437424,16.2804746182798,1.065138265111e-55
"CountryAustria",7.60458507511716,0.504752970700656,15.0659540736553,2.13516891203186e-48
"CountryAzerbaijan",2.91204830171452,0.431693682829324,6.74563566144617,2.04708311649811e-11
"CountryBahamas, The",4.57637130936436,0.469092114385166,9.75580524384333,6.03067893289722e-22
"CountryBahrain",3.130924851403,0.38954544923233,8.03738012489442,1.6456492150718e-15
"CountryBangladesh",2.15739945100443,0.267584748268449,8.06249035105718,1.35000172900655e-15
"CountryBarbados",7.93675515946209,0.421918523072559,18.8111086037746,3.29964678073788e-72
"CountryBelarus",4.06811807381979,0.481043158891575,8.45686712018437,5.59696173965657e-17
"CountryBelgium",7.49316093159109,0.491053352746473,15.2593621236505,1.56778751802502e-49
"CountryBelize",4.10632954672539,0.432694258451625,9.4901410557646,7.03764847971582e-21
"CountryBenin",-1.37791881625567,0.260067361270981,-5.2983150577666,1.31254028263732e-07
"CountryBhutan",2.84603815637835,0.264459057165297,10.7617344888266,3.21623216288066e-26
"CountryBolivia",2.18266003613988,0.343065725345429,6.36222121560581,2.51621367440523e-10
"CountryBosnia and Herzegovina",4.27692603635635,0.37683949278518,11.3494634141078,6.97925142333554e-29
"CountryBotswana",1.73387120588347,0.394274444607163,4.39762513041144,1.1584411817078e-05
"CountryBrazil",4.69396266548123,0.357040605031945,13.1468594869238,9.20412293340923e-38
"CountryBrunei Darussalam",2.49762377324583,0.395641608126642,6.3128440536678,3.44224948598586e-10
"CountryBulgaria",4.12424120524696,0.455526990671083,9.05378010460175,3.49487274898446e-19
"CountryBurkina Faso",-3.01465633596074,0.301968915785541,-9.98333331137219,7.01309363355443e-23
"CountryBurundi",-2.12128377698857,0.270520468635296,-7.84149084056334,7.56733580290102e-15
"CountryCabo Verde",1.62654115995774,0.318574569241138,5.10568424790542,3.64489116585144e-07
"CountryCambodia",0.392112309570291,0.28390096698081,1.38115876722884,0.167401678602597
"CountryCameroon",-0.690913705008685,0.28252280250372,-2.4455148359205,0.01455982180683
"CountryCanada",8.24906508401225,0.508822052747469,16.2120824745509,2.81707931720272e-55
"CountryCentral African Republic",-1.27719395981781,0.34260377171045,-3.72790396743566,0.00019905109475562
"CountryChad",-3.30399091830707,0.29276350124635,-11.2855287774649,1.37854916952937e-28
"CountryChile",6.89482182230086,0.421403280698983,16.3615760438893,3.34830878671771e-56
"CountryChina",2.75499586507334,0.377244363459071,7.30294772282859,4.20886129581358e-13
"CountryColombia",6.35042743035922,0.371876425841042,17.0767141692216,1.03464153498064e-60
"CountryComoros",0.238608596481532,0.279599318221007,0.853394772203721,0.393554029340143
"CountryCongo, Dem. Rep.",-1.60134451517762,0.273946930755554,-5.84545521558158,5.98509921407145e-09
"CountryCongo, Rep.",-0.201104145758313,0.29211182019376,-0.688449189166391,0.491258722092967
"CountryCosta Rica",6.82356135042868,0.386774451630768,17.6422235792936,2.24458248237862e-64
"CountryCroatia",4.79344352634294,0.473044812046484,10.1331700597361,1.66047591383826e-23
"CountryCuba",6.2906468830198,0.440705847242984,14.2740263655985,7.18172908534378e-44
"CountryCyprus",5.97690743550837,0.493970821511173,12.0997175849853,1.86019832371438e-32
"CountryCzechia",5.34179331575859,0.515644194758789,10.3594559389104,1.8193688508009e-24
"CountryDenmark",6.64314691878706,0.546536592417995,12.1549901890308,9.96882543949923e-33
"CountryDjibouti",0.298316531027903,0.263823847782646,1.13074133947767,0.258314696714914
"CountryDominican Republic",4.78666900787069,0.340052565501805,14.0762620061612,9.05252871219823e-43
"CountryEcuador",5.50845454762877,0.366012128148436,15.0499235516994,2.64812061185702e-48
"CountryEgypt, Arab Rep.",2.29263467007023,0.33187734215279,6.90807831350761,6.79214480859316e-12
"CountryEl Salvador",4.03790750124738,0.329417536439307,12.2577187143506,3.10734818956356e-33
